Group	BM-BFUe	BM-BFUe	BM-BFUe	BM-BFUe	BM-BFUe	BM-BFUe	BM-BFUe	BM-CFUe	BM-CFUe	BM-CFUe	BM-CFUe	BM-CFUe	BM-CFUe	BM-CFUe	BM-CFUe	BM-S1	BM-S1	BM-S1	BM-S1	BM-S1	BM-S1	BM-S1	BM-S1	BM-S1	BM-S1	BM-S2	BM-S2	BM-S2	BM-S2	BM-S2	BM-S2	BM-S2	BM-S3	BM-S3	BM-S3	BM-S3	BM-S3	BM-S3	BM-S4	BM-S4	BM-S4	BM-S4	BM-S4	BM-S4	BM-S5	BM-S5	BM-S5	BM-S5	BM-S5	BM-S5	BM-S6	BM-S6	BM-S6	BM-S6	BM-S6	BM-S6
7-HYDROXYOCTANOATE	0.000164963	0.000128618	0.253726329	0.245940236	0.00019578	0.408463163	0.124216189	8.83E-05	0.083767981	0.00187195	0.006340661	0.067779458	0.311786419	0.06144903	0.123508582	0.000457944	1.456768063	0.184259352	0.802807954	2.826861498	0.001096981	0.172041521	0.93086849	0.483710427	1.585421083	3.783905775	1.844748403	5.509691852	1.872303	2.042330709	0.000357595	1.651984174	7.975760032	7.247586001	2.813265543	3.596431294	11.18700242	1.018469172	9.119263167	1.629747777	0.137235546	2.635261061	1.42595905	2.152903532	3.543959037	0.001529971	0.001408688	3.184364493	4.607891937	3.817018102	3.785001827	16.59226107	5.191477463	5.214695942	8.561620425	1.769469105
ACETOIN	0.004697646	0.003662634	0.003652852	0.627639003	0.005575215	1.741434684	2.077963709	0.002513435	0.002335683	0.237092664	0.001518686	1.490218771	1.248716166	1.623679252	0.002707213	0.000406077	0.560066095	0.000274565	0.752140174	0.001049694	0.470102417	2.528847889	0.009364512	0.270908175	2.719727313	0.184445734	0.000646328	0.001230297	0.000882603	0.616766732	0.000317093	1.053599879	0.682662627	1.367274853	3.557364646	0.000529723	3.801477688	0.562519671	5.426144329	0.000500252	0.469748365	1.827611325	0.000468244	1.113756186	7.674061177	5.870696398	0.001249137	0.000924024	1.173153002	0.188644387	2.793214222	6.513812234	0.001256301	0.001033448	0.001731851	0.001401917
ADENINE	0.489040256	0.381292149	0.380273806	0.350530691	0.580398088	0.589644149	0.579230273	0.261656754	0.243152184	0.194558054	0.158100166	0.423146869	0.45761358	0.366209708	0.281829764	0.432200001	0.387029365	0.292227768	1079.972768	1.117221941	1.035311701	0.847466358	0.974876296	0.858913549	1.166210155	0.834380359	0.687907291	1.309443085	0.93938164	0.658136835	399.28453	0.311247809	0.942405509	0.752648855	0.487367006	0.563800864	1.52915367	0.462450156	10575.86365	0.532433699	0.817397782	0.556289198	0.498366851	0.472086239	1.555008592	1.443959592	1.329495477	0.983467454	0.563633353	0.57084192	1.033977696	1.299196613	1.337119551	1.099930929	7704.887793	1.492103268
ADENOSINE	0.102331472	0.045408179	3.28E-05	3.03E-05	0.351816013	0.131562638	0.001832577	0.078308312	2.10E-05	1.68E-05	1.36E-05	0.084089299	0.479291014	3.16E-05	2.43E-05	0.323945329	0.467532603	0.211493224	0.588111227	0.433824195	1.534838598	1.031337207	0.826096363	0.477600093	1.696303543	0.948301453	1.551433379	0.099277792	0.716620635	0.951379762	0.842857607	0.407922161	1.129138661	1.644335842	2.787146326	0.531165415	1.866783982	0.366431751	0.377416236	0.454197467	1.261750759	0.863508513	0.822095434	0.703955082	1.800051018	0.760834608	1.659675769	1.343133094	0.397564325	0.749262807	1.110798833	1.101409679	0.936686464	0.127976741	0.976057242	0.51120814
ADENOSINE-MONOPHOSPHATE	440.2235239	4181.399361	1933.210306	4111.046731	14405.23068	12449.87097	0.579230273	5287.547246	3658.429955	5305.978492	6874.604318	10597.56418	10656.40213	4811.609947	8928.651863	2.384718655	6.532935338	1.690543498	2.373806678	0.125431936	0.635716236	2.238851827	0.974876296	0.858913549	1.166210155	1.471860383	1.101294061	0.179456298	1.116768169	1.435638708	6.334437701	1.635671922	0.902280068	0.354862311	1.618619383	1.679538395	0.548479895	1.721774114	0.934310282	1.156953714	0.862369433	2.296501576	0.826677227	2.787835845	0.197478848	0.028178392	0.042500026	0.717180558	0.780151522	0.431620799	7.82E-05	9.82E-05	0.00010108	8.31E-05	0.040412072	0.000112796
ADIPATE	0.058024746	0.068169694	0.211239766	0.057499125	2.97E-05	0.01454636	2.97E-05	0.024318197	0.050765479	0.086112822	0.018538522	2.17E-05	0.057941851	0.145233114	0.134269338	0.937805482	0.840764994	0.673565082	1.12E-05	1.306070128	0.748158705	0.945771167	1.210142952	0.450508745	1.339348302	0.649191463	2.36E-05	1.700888287	0.367363783	2.25E-05	0.171349166	0.170880458	0.700647977	0.650808397	0.238226443	0.146449716	0.960812777	0.110092281	0.864285232	0.638661607	0.134355258	0.476913168	0.482140598	0.234035613	0.308602244	0.022749878	0.897040626	1.39083597	0.124047795	0.727509234	3.54E-05	4.45E-05	3.939678848	2.391593961	3.747486765	2.624732108
ALLANTOIN	0.006599232	0.005145252	0.00513151	0.004730149	0.007832037	0.007956806	0.007816279	0.003530862	0.003281157	0.002625415	0.060536454	0.00571005	0.006175152	0.004941726	0.003803082	0.659239476	1.056139412	1.00753001	1.175872307	0.578198899	0.912753403	1.509047697	0.013155225	0.011590395	2.97525438	1.512299876	1.713552731	1.188640483	1.500048012	1.932516107	1.152481209	1.72726942	1.844740879	0.855935614	1.223626172	0.796721053	1.499447569	1.167582227	1.313564741	1.626544297	2.350041082	0.887327642	1.776032388	1.057075494	2.067429155	1.349490983	0.39181816	1.625246338	1.786623462	1.417391727	1.17193698	13.30850788	1.979623503	1.141843239	0.540222617	1.739370362
ALLOTHREONINE	0.279994936	0.905811015	0.247720414	0.238164555	0.000255037	0.0002591	0.000254524	0.149118259	0.187123188	0.138272639	0.137690465	0.00157257	0.000201083	0.485386272	0.106462491	0.524210136	0.300837697	0.286424458	0.638623102	1.367359683	1.391499067	0.24114125	2.653102601	0.265314926	0.081582473	0.774973783	0.737257059	0.335754817	0.130011908	0.378041877	0.39404284	0.46843513	0.889794942	1.610531036	0.301555081	0.37512179	0.69890403	0.374658252	0.147109401	0.312109537	0.365450083	0.373817204	0.225506946	0.696149376	0.664267986	0.431096199	0.34219975	0.487694048	0.290159437	0.630719824	1.95898219	0.434508276	0.951984863	0.450147439	0.595523752	0.576765701
ALPHA-KETOISOVALERATE	0.321427999	0.33294932	0.395609931	0.382441977	0.559968927	0.483219506	0.529546368	0.231877325	0.211472529	0.194159467	0.15290963	0.475343088	0.432447702	0.290270029	0.304742391	2.574916224	0.936810516	2.612083239	1.958921467	2.3940092	0.605146198	0.000844603	0.888171502	1.206475222	0.905353276	2.87579547	3.074242458	6.190919719	1.593938638	3.058715273	1.16692245	3.927321914	5.73871333	4.972593237	0.00048572	0.000561896	0.001523986	0.462579723	0.531310941	3.667422608	2.375961519	16.56936039	3.193034944	0.935625879	5.452753478	7.918745551	15.46777535	0.000980144	0.707272846	5.108101266	13.25145753	10.86946615	1.364317655	9.816435762	0.001837034	6.552426199
ARGININE	0.109623686	0.017667475	9.70E-05	8.94E-05	0.00014798	0.000150338	0.000147683	0.027966959	0.005003022	0.0231004	0.048815963	0.000107887	0.000116675	0.272625376	0.047839091	0.627184621	0.882052546	0.488116256	1.600812561	0.922911059	0.934298712	1.142790228	1.247359925	0.458098055	1.29454202	0.800915984	0.593979942	0.682910948	0.980742237	0.703831677	0.852961937	0.27176493	0.610884845	0.378398634	1.022037061	0.786633982	0.764826083	0.396001036	1.09395149	1.011717814	1.023245916	0.707688588	0.96255599	0.807046754	3.592036014	1.212876229	0.527620823	0.743004204	0.645160472	0.65149919	1.115778848	1.758090782	0.990518784	0.861807328	0.174915888	0.881743466
ASPARTATE	0.096435308	0.172157682	0.06040411	0.049078393	5.88E-05	5.97E-05	5.87E-05	0.357211133	0.37412903	0.815641155	0.663164419	0.053809382	0.067759981	0.59775211	0.499407563	1.739157795	1.577103788	2.364499273	2.210839442	1.15066481	0.956302773	0.893032417	1.037867522	0.694045494	1.268086984	1.86584542	0.894290487	0.908752811	1.15731508	0.915521783	1.402517208	1.326392057	1.776882095	1.095539055	2.093722645	1.95648204	0.389484501	2.105720273	1.660646649	2.010905054	1.175691443	1.796102779	0.899654946	1.754183871	0.935281345	0.79659352	0.459937073	0.760026551	1.526004781	1.180822893	0.654079921	0.138276845	0.613153811	0.291443199	0.262222117	0.441151623
Azelaic acid	0.081174052	0.126999916	0.131999481	0.119616704	0.12019812	0.094486091	0.104014684	0.035507073	0.067386437	0.025395912	0.042542104	0.065723036	0.162503333	0.151138502	0.122033265	0.532106674	0.425098697	0.421125035	0.316488758	1.561863414	0.883292407	0.554844179	0.847157873	0.694996084	1.457846043	0.935778794	0.740538485	0.770344834	0.632065423	0.625409108	0.215797054	0.362143296	0.524423535	1.026709565	0.457990881	0.486322288	1.260797137	0.3861327	2.921536919	0.824578817	0.614480606	0.459453093	0.601053355	0.907019959	1.423467834	0.074741907	1.162279525	0.863573349	0.454380987	0.565236237	1.287418611	1.46346436	1.382472126	1.074539109	2.11231625	1.656384418
AZELATE	0.082363977	0.128032635	0.132483504	0.106095517	0.11947924	0.088226547	0.102750407	0.032697206	0.064076782	0.022634631	0.04016722	0.066803664	0.164354086	0.150429954	0.123113682	0.527265688	0.418934348	0.417030557	0.324690002	1.542616455	0.912410986	0.54497256	0.839328839	0.690503819	1.470167342	0.960541161	0.73654127	0.754854294	0.61429142	0.601623993	0.227330101	0.376165059	0.546700186	1.0442654	0.453726547	0.457775704	1.21515121	0.379715893	2.879336808	0.811831783	0.647864968	0.473364702	0.616658385	0.897999325	1.475648052	0.019045791	1.195558561	0.890638197	0.445727441	0.579304207	1.305148106	1.444908903	1.423237794	1.028348337	2.016559813	1.598697629
